Título,Año,País
Coco,2017,Estados Unidos
Joker,2019,Estados Unidos
Parásitos,2019,Corea del Sur
Spider-Man: Cruzando el Multiverso,2023,Estados Unidos
Interstellar,2014,Estados Unidos
Black Mirror: Blanca Navidad,2014,Reino Unido
Cafarnaúm,2018,Líbano
Whiplash,2014,Estados Unidos
Del revés,2015,Estados Unidos
Your Name.,2016,Japón
1917,2019,Reino Unido
El padre,2020,Reino Unido
Relatos salvajes,2014,Argentina
La habitación,2015,Irlanda
As bestas,2022,España
La doncella,2016,Corea del Sur
Oppenheimer,2023,Estados Unidos
Spider-Man: Un nuevo universo,2018,Estados Unidos
Tres anuncios en las afueras,2017,Reino Unido
Prisioneros,2013,Estados Unidos
Wolfwalkers,2020,Irlanda
Klaus,2019,España
Green Book,2018,Estados Unidos
El cuento de la princesa Kaguya,2013,Japón
El lobo de Wall Street,2013,Estados Unidos
La canción del mar,2014,Irlanda
Monstruo,2023,Japón
An Elephant Sitting Still,2018,China
Vengadores: Infinity War,2018,Estados Unidos
Mandarinas,2013,Estonia
